Alcoa Corp,4649.808516,163.5
Ford Motor Company,1910.081028,156.72
NVIDIA Corporation,20400.210900000002,109.6
Alphabet Inc. Class C (Google),211578.78900000002,61.04
Advanced Micro Devices, Inc.,10380.0516,55.73
Exxon Mobil Corporation,5456.724936,50.51
Pfizer Inc.,4161.112656,49.89
Microsoft Corporation,23481.646656,45.84
Bank of America Corporation,3630.745056,45.61
Berkshire Hathaway Inc.,24557.535216,39.11
Apple Inc.,13120.536756,36.25
The Home Depot, Inc.,28245.863040000004,35.37
General Motors Company,4632.382152,21.21
The Procter & Gamble Company,12137.84136,18.81
American Airlines Group Inc.,1406.9894760000002,17.23
Mastercard,28181.46126,14.48
Adobe Systems Inc,39587.395332,14.17
JPMorgan Chase & Co.,11962.820052,13.88
THE BOEING COMPANY,17130.873480000002,10.57
salesforce.com, inc.,17524.86084,8.57
Visa Inc.,16283.042988000001,6.64
Netflix, Inc.,39898.79688,6.03
Johnson & Johnson,12765.948132000001,5.24
Amazon.com, Inc.,245537.46876,4.54
AT&T,2058.5839560000004,-6.82
Verizon Communications Inc.,4044.4317840000003,-6.84
PayPal Holdings, Inc.,13520.58546,-25.58
